happy,ladder,sex,marital,educ,work,income,region,age,leftout
5,8,Male,Married/living with a partner,Tertiary education,Other,High,London,75,Disagree
4,6,Male,Married/living with a partner,Lower secondary or below,Unemployed/not working,,West Midlands,61,Neither agree nor disagree
6,5,Male,Married/living with a partner,Tertiary education,Employed,Low-medium,North West,60,Neither agree nor disagree
5,7,Male,Single,Lower secondary or below,Employed,Low,London,56,Neither agree nor disagree
4,4,Female,Married/living with a partner,Upper secondary education,Employed,,North East,34,Disagree
5,7,Male,Married/living with a partner,Lower secondary or below,Employed,Low-medium,London,49,Strongly agree
6,9,Female,Married/living with a partner,Tertiary education,Unemployed/not working,,South East,58,Neither agree nor disagree
8,99,Male,Married/living with a partner,Lower secondary or below,Employed,Low,East of England,46,Neither agree nor disagree
7,6,Female,Single,Tertiary education,Employed,High,Yorkshire and the Humber,26,Disagree
8,7,Male,Married/living with a partner,Upper secondary education,Employed,Low-medium,Yorkshire and the Humber,49,Disagree
0,5,Male,Married/living with a partner,Upper secondary education,Employed,,London,37,Agree
8,6,Male,Married/living with a partner,Lower secondary or below,Other,,North East,62,Disagree
7,4,Female,Single,Tertiary education,Employed,Low,West Midlands,43,Neither agree nor disagree
3,7,Male,Married/living with a partner,Upper secondary education,Employed,Medium-high,London,55,Neither agree nor disagree
6,6,Female,Married/living with a partner,Lower secondary or below,Other,Low,Wales,73,Strongly disagree
4,7,Female,Married/living with a partner,Tertiary education,Employed,High,South East,26,
7,5,Female,Married/living with a partner,Upper secondary education,Employed,High,South East,25,Neither agree nor disagree
8,1,Male,Married/living with a partner,Upper secondary education,Unemployed/not working,Low,South East,52,Disagree
5,6,Male,Married/living with a partner,Lower secondary or below,Other,Low-medium,North East,72,Strongly disagree
5,6,Female,Married/living with a partner,Upper secondary education,Employed,High,North West,47,Neither agree nor disagree
8,6,Female,Married/living with a partner,Tertiary education,Other,High,South West,67,Disagree
9,8,Male,Divorced/Separated,Upper secondary education,Other,,East of England,68,Disagree
7,99,Male,Married/living with a partner,Upper secondary education,Other,,North West,78,Agree
8,8,Female,Single,Tertiary education,Employed,High,Wales,31,Strongly disagree
8,6,Female,Married/living with a partner,Upper secondary education,Other,,North East,71,Disagree
4,6,Female,Married/living with a partner,Lower secondary or below,Other,Low-medium,Yorkshire and the Humber,57,Neither agree nor disagree
5,6,Male,Married/living with a partner,Upper secondary education,Employed,Low-medium,North East,70,Neither agree nor disagree
8,6,Male,Married/living with a partner,Upper secondary education,Other,High,West Midlands,70,Disagree
0,1,Male,Married/living with a partner,Lower secondary or below,Unemployed/not working,,West Midlands,58,Neither agree nor disagree
6,9,Female,Married/living with a partner,Upper secondary education,Other,,South East,67,Disagree
6,7,Male,Married/living with a partner,Upper secondary education,Other,Medium-high,South East,67,Neither agree nor disagree
9,8,Female,Married/living with a partner,Tertiary education,Employed,High,London,34,Strongly disagree
8,6,Male,Single,Lower secondary or below,Employed,Low-medium,South East,66,Neither agree nor disagree
6,5,Male,Married/living with a partner,Lower secondary or below,Employed,Low-medium,Yorkshire and the Humber,55,Disagree
10,6,Male,Married/living with a partner,Tertiary education,Employed,Medium-high,London,30,Agree
8,7,Male,Married/living with a partner,Upper secondary education,Employed,High,South West,38,Disagree
